Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,8.8E-05,-1.9E-05,0.037664,0,0,0,2.429516,0.006538,-0.005903,-1.4E-05,0.170381,4E-06,0.167585,0,0,0,0,0,0,package://gp11/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://gp11/meshes/base.STL,,6248p固定板-1;6248p辅助固定板上侧-1;6248p辅助固定板下侧-1;6248p固定板-3;DM 6248 减速电机20250610_1-1;RU1008UUCC0P5-2;6248p电机限位-2;RU1008UUCC0P5-1;DM 6248 减速电机20250610_1-2;6248p电机限位-3,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_first_leg,-0.063411,-0.008934,0.141596,0,0,0,0.85685,0.024155,-0.000517,0.008494,0.027184,0.001291,0.005481,0,0,0,0,0,0,package://gp11/meshes/left_first_leg.STL,1,1,1,1,0,0,0,0,0,0,package://gp11/meshes/left_first_leg.STL,,电机转角板B-3;转角辅助固定B板-2;电机转角板A-2;转角辅助固定A板-2;joint3交滚垫块限位-2;dm_4340P_20250407-1-2/DM_4340_3D-1;dm_4340P_20250407-1-2/4340__3D_20240814_1_2_2-1;dm_4340P_20250407-1-2/4340_RAU_35050001-1,left_first_leg,left_first_leg_z,left_first_leg_joint,continuous,-0.299916107911189,-0.00183492089258142,0.0379999999994639,0,0,0,base,0,1,0,,,,,,,,,,,,
left_second_leg,3.3E-05,-5.6E-05,0.066999,0,0,0,0.55532,0.003574,0,-1E-06,0.003456,2E-06,0.00035,0,0,0,0,0,0,package://gp11/meshes/left_second_leg.STL,1,1,1,1,0,0,0,0,0,0,package://gp11/meshes/left_second_leg.STL,,局部装配体-1/DM-S2325-1EC-1;局部装配体-1/爪子固定板-1;局部装配体-1/2325固定座-3;局部装配体-1/爪子固定板-2;局部装配体-1/蜗杆1×1-1;4340p新次连接件-4;4340p新次连接件-3;4340p新连接件-2,left_second_leg,left_cecond_leg_z,left_second_leg_z,continuous,-0.07,-0.01359,0.22765,0,0,0,left_first_leg,0,0,-1,,,,,,,,,,,,
l_gripper_left_drive,-0.0050526,0.01348,-7.0075E-09,0,0,0,0.0064743,1.96837E-06,1.06745E-06,0,8.84156E-07,0,2.74340E-06,0,0,0,0,0,0,package://gp11/meshes/l_gripper_left_drive.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://gp11/meshes/l_gripper_left_drive.STL,,局部装配体-1/蜗轮27×1-1,l_gripper_left_drive,l_gripper_left_drive_z,l_gripper_left_drive_joint,continuous,0.0001,-0.0215,0.1151,1.5708,0,1.5708,left_second_leg,0,0,1,,,,,,,,,,,,
l_gripper_left_up,-0.005091,0.065621,-7.5E-05,0,0,0,0.519091,0.003042,0.000201,0,0.000375,2E-06,0.002807,0,0,0,0,0,0,package://gp11/meshes/l_gripper_left_up.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://gp11/meshes/l_gripper_left_up.STL,,局部装配体-1/固定支架-0330-2;局部装配体-1/客户模型 M3508减速箱 减比268：17-1,l_gripper_left_up,l_gripper_left_up_z,l_gripper_left_up_joint,continuous,-0.018152,0.046589,0,0,0,0,l_gripper_left_drive,0,0,1,,,,,,,,,,,,
left_friction_whell,5.8564E-15,-0.00061383,2.8866E-15,0,0,0,0.084511,9.2E-05,9.0826E-19,0,0.000169,0,9.2E-05,0,0,0,0,0,0,package://gp11/meshes/left_friction_whell.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://gp11/meshes/left_friction_whell.STL,,局部装配体-1/主动轮架弧形-1,left_friction_wheel,left_friction_wheel_z,left_friction_whell_joint,continuous,0.01695,0.082384,-0.0001,1.4121,-1.5708,-2.9801,l_gripper_left_up,0,1,0,,,,,,,,,,,,
l_gripper_right_drive,0.0050526,0.01348,6.9946E-09,0,0,0,0.0064743,1.96837E-06,-1.06745E-06,0,8.84156E-07,0,2.74340E-06,0,0,0,0,0,0,package://gp11/meshes/l_gripper_right_drive.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://gp11/meshes/l_gripper_right_drive.STL,,局部装配体-1/蜗轮27×1-2,l_gripper_right_drive,l_gripper_right_drive_z,l_gripper_right_drive_joint,continuous,0.0001,0.0215,0.1151,1.5708,0,1.5708,left_second_leg,0,0,1,,,,,,,,,,,,
l_gripper_right_up,0.00052003,0.011886,-0.0001,0,0,0,0.12712,0.000321,-3E-06,0,0.000313,0,6.3E-05,0,0,0,0,0,0,package://gp11/meshes/l_gripper_right_up.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://gp11/meshes/l_gripper_right_up.STL,,局部装配体-1/辅助固定支架-0327-1,l_gripper_right_up_,l_gripper_right_up_z,l_gripper_right_up_joint,continuous,0.018152,0.046589,0,0,0,0,l_gripper_right_drive,0,0,1,,,,,,,,,,,,
right_first_leg,0.058923,0.005837,0.094762,0,0,0,0.484529,0.008497,-0.000168,-0.003215,0.009795,-0.000271,0.003452,0,0,0,0,0,0,package://gp11/meshes/right_first_leg.STL,1,1,1,1,0,0,0,0,0,0,package://gp11/meshes/right_first_leg.STL,,转角辅助固定B板-1;电机转角板B-2;转角辅助固定A板-1;电机转角板A-1,right_first_leg,right_first_leg_z,right_first_leg_joint,continuous,0.30008,0.0018349,0.038,0,0,0,base,0,1,0,,,,,,,,,,,,
right_second_leg,3.3E-05,-5.6E-05,0.066999,0,0,0,0.55532,0.003574,0,-1E-06,0.003456,2E-06,0.00035,0,0,0,0,0,0,package://gp11/meshes/right_second_leg.STL,1,1,1,1,0,0,0,0,0,0,package://gp11/meshes/right_second_leg.STL,,局部装配体-2/DM-S2325-1EC-1;局部装配体-2/爪子固定板-1;局部装配体-2/蜗杆1×1-1;局部装配体-2/爪子固定板-2;局部装配体-2/2325固定座-3;4340p新次连接件-2;4340p新连接件-1;4340p新次连接件-1,right_second_leg,right_second_leg_z,right_second_leg_joint,continuous,0.07,-0.0018099,0.22765,0,0,0,right_first_leg,0,0,-1,,,,,,,,,,,,
